starttime_shike,endtime_shike,duration,FixationVecX,FixationVecY,FixationVecZ,startTime_shijian,FixationHitName,Average_CarSpeed_In_This_Fixation,Theta,Phi,r
1.5516E+15,1.5516E+15,0.389424,1.544335113,-1.11987714,30.86751744,0,mcp_road_part_02,3.111111111,92.07519295,87.13581869,30.92640827
1.5516E+15,1.5516E+15,0.179401,0.085738961,-1.11949068,20.70737315,0.40992,mcp_road_part_02,6.888888889,93.09450946,89.76276795,20.7377895
1.5516E+15,1.5516E+15,0.360147,-0.040325677,-1.119341266,16.94935324,0.609817,mcp_road_part_02,10.58823529,93.77833633,90.1363171,16.98632174
1.5516E+15,1.5516E+15,0.220081,0.960106526,-1.119067689,19.43870796,0.989484,mcp_road_part_02,14.3,93.2908234,87.17237459,19.49455011
1.5516E+15,1.5516E+15,0.110289,-0.06921208,-1.118966979,13.19829908,1.310093,mcp_road_part_02,17.66666667,94.84594716,90.30045718,13.24582863
1.5516E+15,1.5516E+15,0.110288,-0.005433954,-0.0740714,0.62675871,1.449661,Kooper,19.16666667,96.73979756,90.49673795,0.631143867
1.5516E+15,1.5516E+15,0.169824,-0.009202719,-0.078522889,0.603089446,1.609726,Kooper,20.55555556,97.41738674,90.87422531,0.608249466
1.5516E+15,1.5516E+15,0.180559,-0.008212289,-0.084384778,0.589431264,1.809806,Kooper,21,98.14649826,90.79822549,0.595497647
1.5516E+15,1.5516E+15,0.110287,-0.008253396,-0.0916148,0.623500379,2.009886,Kooper,21,98.35828913,90.75839111,0.630249247
1.5516E+15,1.5516E+15,0.320473,-0.436102194,-1.120837453,12.0886067,2.139694,mcp_road_part_02,20.53333333,95.29380955,92.06607632,12.14828686
1.5516E+15,1.5516E+15,0.289873,0.786579996,-1.170903692,20.93716844,2.490168,Plane_01,20,93.19866003,87.84848991,20.98463118
1.5516E+15,1.5516E+15,0.569983,-0.22982652,-1.120918037,13.85327556,2.799561,mcp_road_part_02,19.07692308,94.62529483,90.9504526,13.9004504
1.5516E+15,1.5516E+15,0.339776,0.105851361,-1.16972725,15.74787484,3.39004,Plane_01,20.625,94.24794324,89.61488487,15.7916126
1.5516E+15,1.5516E+15,0.369694,0.237650064,-1.169367722,18.17066783,3.750313,Plane_01,23.33333333,93.68186052,89.25068415,18.20980691
1.5516E+15,1.5516E+15,0.349409,0.771735171,-1.1693934,27.5202056,4.140502,Plane_01,25.75,92.4322036,88.39370447,27.55584824
1.5516E+15,1.5516E+15,0.109312,-0.095567551,-1.1644254,32.02369012,4.510407,Plane_01,27,92.08242661,90.17098595,32.04499569
1.5516E+15,1.5516E+15,0.650016,-0.151212646,-1.133939033,22.50890038,4.640215,Plane_01,25.96666667,92.88390721,90.38490179,22.53795198
1.5516E+15,1.5516E+15,0.289872,-1.097346961,-1.121003857,17.07501736,5.320487,Plane_01,24.71428571,93.748464,93.67712684,17.14692502
1.5516E+15,1.5516E+15,0.650563,-0.104413819,-1.120926467,17.89981534,5.660135,Plane_01,24,93.58324989,90.33421592,17.9351824
1.5516E+15,1.5516E+15,0.40016,1.261278785,-1.070833476,20.26581859,6.330218,mcp_road_part_02,23.5,93.01883103,86.43869002,20.33324647
1.5516E+15,1.5516E+15,0.400159,0.025792796,-1.070731378,16.97421542,6.749899,mcp_road_part_02,22.52631579,93.6094241,89.91293753,17.00797225
1.5516E+15,1.5516E+15,0.339393,0.019820186,-1.070503609,18.10834047,7.180314,mcp_road_part_02,22.05882353,93.38319244,89.93728787,18.13996597
1.5516E+15,1.5516E+15,0.109312,-0.301924972,-1.069755526,21.39377787,7.820544,mcp_road_part_02,24.66666667,92.86229868,90.80854716,21.42263446
1.5516E+15,1.5516E+15,0.329888,-0.540587263,-1.073258385,20.96026889,7.950353,mcp_road_part_02,26.2,92.93026437,91.47739058,20.99468956
1.5516E+15,1.5516E+15,0.339649,-0.49181455,-1.098947056,24.3405711,8.300737,mcp_road_part_02,28.15789474,92.58455211,91.15753505,24.37032966
1.5516E+15,1.5516E+15,0.300607,-0.318571294,-1.118707212,16.91809642,8.659906,mcp_road_part_02,28.5,93.7825008,91.07876402,16.95803585
1.5516E+15,1.5516E+15,0.170057,0.041451155,-0.175151633,0.403873903,9.130016,Kooper,27.66666667,113.3359841,84.14002875,0.442165606
1.5516E+15,1.5516E+15,0.160065,-0.34307931,-1.120166034,20.18069129,9.500663,mcp_road_part_02,27.9,93.1765884,90.97395589,20.21466736
1.5516E+15,1.5516E+15,0.749569,-0.264711993,-1.119830553,23.06529293,9.670487,mcp_road_part_02,31.23529412,92.77937106,90.65753399,23.09397824
1.5516E+15,1.5516E+15,0.320129,0.436473372,-1.119693025,18.70471958,10.710904,mcp_road_part_02,35.86956522,93.42479459,88.66324944,18.74328563
1.5516E+15,1.5516E+15,0.459368,-0.069083452,-1.120545732,15.66512847,11.050552,mcp_road_part_02,36,94.09142849,90.25267361,15.70530628
1.5516E+15,1.5516E+15,0.269376,2.279757267,-1.171175737,37.27569383,11.520657,Plane_01,35,91.79624649,86.50018657,37.36370293
1.5516E+15,1.5516E+15,0.129809,1.881776872,-1.1710863,34.73235157,11.800769,Plane_01,35,91.92830997,86.89878292,34.80299948
1.5516E+15,1.5516E+15,0.270351,1.278963508,-1.170839222,31.09382463,11.940338,Plane_01,34.7,92.15463587,87.64461505,31.14213452
1.5516E+15,1.5516E+15,0.240097,1.794900479,-1.170709474,46.9315898,12.290721,Plane_01,33.9,91.42790459,87.80978813,46.98048903
1.5516E+15,1.5516E+15,0.38,3.112282453,-1.170670667,29.79009916,12.540578,Plane_01,33,92.23824259,84.03573353,29.97510267
1.5516E+15,1.5516E+15,0.439691,1.597224645,-1.170655379,45.61642846,12.930338,Plane_01,32.81578947,91.46916023,87.99465099,45.65939231
1.5516E+15,1.5516E+15,0.20984,-0.379760734,-1.170641,18.45402635,13.380766,Plane_01,32,93.62895851,91.17890894,18.49501844
1.5516E+15,1.5516E+15,0.170801,-0.461490808,-1.170154643,15.49675901,13.610125,Plane_01,32,94.31628266,91.7057543,15.54772573
1.5516E+15,1.5516E+15,0.380639,1.308081129,-1.151638226,29.57494485,13.800446,Plane_01,32,92.22777564,87.4674944,29.62625034
1.5516E+15,1.5516E+15,0.31966,1.316174552,-1.123749143,21.11753916,14.200606,Plane_01,32.46428571,93.04017765,86.43358882,21.18833612
1.5516E+15,1.5516E+15,0.569339,0.107398673,-1.070555838,26.3623452,14.531001,mcp_road_part_02,33,92.32544328,89.76658159,26.38429209
1.5516E+15,1.5516E+15,0.10982,1.429149253,-1.1204644,17.92332582,15.120837,Plane_01,33,93.56586275,85.44106148,18.01509135
1.5516E+15,1.5516E+15,0.120302,1.523457999,-1.120622167,17.7812321,15.240416,Plane_01,32.81818182,93.59303938,85.1029791,17.88152492
1.5516E+15,1.5516E+15,0.140544,0.085315832,-1.070716945,18.27490659,15.380239,mcp_road_part_02,32,93.35305919,89.73251838,18.30644489
1.5516E+15,1.5516E+15,0.150304,0.065158959,-1.070664777,17.61349698,15.530543,mcp_road_part_02,32,93.47851228,89.7880423,17.64612832
1.5516E+15,1.5516E+15,0.449936,1.147749113,-1.070486947,20.83728442,15.700367,mcp_road_part_02,32,92.93646336,86.84724776,20.8963081
1.5516E+15,1.5516E+15,0.259616,2.86388452,-1.070724382,26.21337672,16.170799,mcp_road_part_02,32,92.32521055,83.76500513,26.3910857
1.5516E+15,1.5516E+15,0.550871,1.79810266,-1.09042368,54.09511068,16.440176,mcp_road_part_02,31.27272727,91.15414761,88.09620917,54.13596953
1.5516E+15,1.5516E+15,0.19032,11.64452399,-1.038621086,52.43653816,17.000807,mcp_road_part_02,31.29411765,91.10774241,77.47956426,53.72396306
1.5516E+15,1.5516E+15,0.270351,12.10310994,-1.040386054,51.52175344,17.200889,mcp_road_part_02,31,91.1261766,76.78019355,52.93447602
1.5516E+15,1.5516E+15,0.100527,0.46661675,-1.120639463,19.00222029,17.790392,mcp_road_part_02,31,93.37404502,88.59333287,19.04095428
1.5516E+15,1.5516E+15,0.240097,0.096896173,-1.120511757,15.50360899,17.90068,mcp_road_part_02,30.7,94.13374144,89.64191115,15.54435033
1.5516E+15,1.5516E+15,0.169825,2.169859909,-1.120533734,33.27080118,18.171031,mcp_road_part_02,30.21428571,91.92486033,86.26856005,33.36030724
1.5516E+15,1.5516E+15,0.140449,1.293505039,-1.120605988,23.14392475,18.350616,mcp_road_part_02,30,92.76772757,86.80108894,23.20711455
1.5516E+15,1.5516E+15,0.219641,1.05483726,-1.120606968,29.11512204,18.500825,mcp_road_part_02,30,92.20271576,87.92508854,29.15576741
1.5516E+15,1.5516E+15,0.319993,3.601564752,-1.120612485,18.92148909,18.74096,mcp_road_part_02,29.07692308,93.3297018,79.22309048,19.29377595
1.5516E+15,1.5516E+15,0.160064,4.220932622,-1.120642445,21.07480373,19.071221,mcp_road_part_02,29,92.98464534,78.67445717,21.52253387
1.5516E+15,1.5516E+15,0.129809,3.828505679,-1.120704175,31.67024098,19.771014,mcp_roads_turn_01 (1),28,92.01202491,83.10715823,31.92048868
1.5516E+15,1.5516E+15,0.260592,2.450718929,-1.120716877,23.84608676,19.910583,mcp_roads_turn_01 (1),27.09090909,92.67672523,84.13217785,23.99787247
