SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20190312172608996""","=""1552382768988708""",Testhuanghun_on,3.173916,0.5110855,mcp_road_part_02,-443.8146,-3.612259e-06,365.6255,-476.6054,1.109399,367.2162,0.9999650999999999,0,-8.240397e-06,0.9868294,0.15962020000000002,-0.02626109,3.052246,-0.1032557,-0.14801029999999998,0.02625938,0.1678822,0.9854572,0.04839948,-0.0008176707000000001,0.9988277,1,32.79079999999999,-1.109402612259,-1.5907000000000266,1.588615634774014,-1.109402612259,32.75340979626329,91.93766837993702,87.22319912664983,32.81067398078089
"=""20190312172609017""","=""1552382769008229""",Testhuanghun_on,3.173522,0.5110765,mcp_road_part_02,-443.1413,-3.941785e-06,365.56199999999995,-476.597,1.109507,367.2161,0.9999658000000001,0,-7.153083e-06,0.9867908000000001,0.15968,-0.02732121,3.0523990000000003,-0.1011932,-0.1508789,0.02732002,0.1678436,0.9854350000000001,0.04933517,-0.0008168205000000001,0.9987819,1,33.45569999999998,-1.109510941785,-1.654100000000028,1.6520481499012647,-1.109510941785,33.41904641103021,91.89920157256671,87.16992539392318,33.478245782031706
"=""20190312172609041""","=""1552382769028725""",Testhuanghun_on,3.164602,0.511131,mcp_road_part_02,-442.9931,-4.020372e-06,365.514,-476.5922,1.109915,367.2161,0.999956,0,-8.899875e-06,0.9869434000000001,0.1586257,-0.02795222,3.052155,-0.10077380000000001,-0.1546021,0.02794906,0.16789489999999999,0.9854086,0.0505522,-0.000833493,0.9987210999999999,1,33.599099999999964,-1.109919020372,-1.702099999999973,1.6999506234690631,-1.109919020372,33.562583474868376,91.89166547803462,87.1004367744283,33.623931386164884
"=""20190312172609063""","=""1552382769058982""",Testhuanghun_on,3.259823,0.5465266,mcp_road_part_02,-444.0155,-3.533074e-06,365.5366,-476.5895,1.1103,367.2161,0.9999425,0,-1.119932e-05,0.98706,0.157771,-0.02865511,3.051941,-0.10398239999999999,-0.1573486,0.02865008,0.168349,0.985311,0.05144756,-0.0008752164,0.9986753,1,32.57400000000001,-1.110303533074,-1.6794999999999618,1.677191732959104,-1.110303533074,32.53631747869181,91.95187347727752,87.04911205930551,32.598430960997014
"=""20190312172609130""","=""1552382769118518""",Testhuanghun_on,3.2204479999999998,0.5769776999999999,Floor 01,-372.9646,0.9879986999999999,344.5345,-476.5593,1.109494,367.2161,0.9999686,0,-5.378984e-06,0.9862745,0.1620623,-0.03160176,3.020569,-0.003548265,-0.6612549,0.03160291,0.16987639999999998,0.9849585,0.2138475,-0.0001241273,0.976867,1,103.5947,-0.12149530000000007,-22.681600000000003,22.681012978471408,-0.12149530000000007,103.59468603534977,90.06564132406608,77.65052807040577,106.04858360959001
"=""20190312172609150""","=""1552382769148775""",Testhuanghun_on,3.214752,0.5804519,Floor 01,-372.9646,1.499319,343.296,-476.5486,1.1096270000000001,367.2161,0.999967,0,-2.997846e-06,0.9862851,0.1618422,-0.03238781,3.017517,0.01135719,-0.6967468000000001,0.03239135,0.1698608,0.9849356,0.22497670000000008,0.0004178682,0.9743639999999999,1,103.584,0.3896919999999999,-23.92009999999999,23.919468060480746,0.3896919999999999,103.58267989449452,89.7899735981884,76.99710009198506,106.30928645361392
"=""20190312172609174""","=""1552382769168293""",Testhuanghun_on,3.229493,0.5820264,Floor 01,-372.9646,1.678968,342.2480000000001,-476.5416,1.110075,367.2161,0.9999539000000001,0,-2.777015e-06,0.9864494,0.1606938,-0.03309372,3.0151369999999997,0.01657474,-0.7267760999999999,0.03309755,0.17015360000000002,0.9848616,0.2343251,0.0006349508000000001,0.9721581,1,103.577,0.5688930000000001,-24.96809999999993,24.967100528501824,0.5688930000000001,103.57411639497114,89.69406235531555,76.44710358845778,106.54237342505937
"=""20190312172609195""","=""1552382769188790""",Testhuanghun_on,3.205319,0.5831054,Floor 01,-372.9646,1.607984,341.7408,-476.535,1.110298,367.2161,0.9999446,0,-3.845924e-06,0.9865199,0.16017979999999998,-0.03348134,3.013977,0.01449084,-0.7413025,0.03348438,0.170568,0.9847768,0.2388306,0.0005656834,0.9710610999999999,1,103.5704,0.4976860000000001,-25.475300000000004,25.474346988236213,0.4976860000000001,103.56824293789387,89.73264209462289,76.1814553651254,106.65632185236025
"=""20190312172609243""","=""1552382769238565""",Testhuanghun_on,3.203752,0.58498,Floor 01,-372.9646,1.563473,341.055,-476.5049,1.1095469999999998,367.2161,0.9999676,0,1.4120779999999996e-06,0.9859697000000001,0.16337449999999998,-0.03424084,3.013184,0.01319742,-0.7612,0.03424898,0.1713037,0.9846228000000001,0.2449277,0.0005280871,0.9695412,1,103.5403,0.4539260000000001,-26.161099999999976,26.16077357707178,0.4539260000000001,103.53839247684759,89.7564627842089,75.8200078200567,106.79321532594675
"=""20190312172609265""","=""1552382769259061""",Testhuanghun_on,3.226882,0.5853108,Floor 01,-372.9646,1.8358709999999998,340.8003,-476.4897,1.109583,367.2161,0.9999684999999999,0,4.7020800000000006e-06,0.9859545,0.1635897,-0.03364887,3.012451,0.02113426,-0.7685546999999999,0.03366003,0.17141370000000006,0.9846239999999999,0.2472064,0.0008535080999999999,0.9689625,2,103.5251,0.7262879999999998,-26.41579999999999,26.41506616743752,0.7262879999999998,103.52019215410814,89.61050459350223,75.68539712750001,106.83966210407313
"=""20190312172609285""","=""1552382769278582""",Testhuanghun_on,3.225781,0.5855865,Floor 01,-372.9646,1.8623939999999999,340.7825,-476.4804,1.10996,367.2161,0.9999581,0,5.8450969999999994e-06,0.9861503,0.1624916,-0.0332306,3.012848,0.02191103,-0.7692871,0.03324292,0.17151660000000002,0.9846202,0.24739770000000005,0.0008854307000000002,0.9689136,2,103.51579999999996,0.7524339999999998,-26.433599999999966,26.432893990501675,0.7524339999999998,103.51051127435427,89.5964646377668,75.67484893984535,106.83487251789876
"=""20190312172609306""","=""1552382769298102""",Testhuanghun_on,3.1890970000000003,0.5860223000000001,Floor 01,-372.9646,1.75118,340.7608,-476.4668,1.109919,367.2161,0.9999589,0,7.805039999999997e-06,0.9861261,0.1627956,-0.03245344,3.013092,0.01866663,-0.77005,0.03246764,0.17173270000000002,0.9846084,0.2476127,0.0007549114,0.9688588,1,103.50219999999996,0.6412609999999999,-26.455299999999966,26.4551546453622,0.6412609999999999,103.498264278818,89.65606544090329,75.66165548262926,106.82779194436345
"=""20190312172609329""","=""1552382769318597""",Testhuanghun_on,3.220427,0.5866024999999999,Floor 01,-372.9646,1.7317810000000002,340.7419,-476.4481,1.109583,367.2161,0.999969,0,1.0933930000000001e-05,0.9860085,0.1635765,-0.03209556,3.0138849999999997,0.01811028,-0.7709045,0.0321127,0.17134979999999994,0.9846868000000001,0.2478127,0.0007328096,0.9688076999999999,1,103.4835,0.6221980000000003,-26.4742,26.47443324052593,0.6221980000000003,103.47969946412005,89.66624820483003,75.64917013023798,106.81446974517486
"=""20190312172609351""","=""1552382769348853""",Testhuanghun_on,3.209433,0.5868453,Floor 01,-372.9646,1.790138,340.6259,-476.4269,1.109378,367.2161,0.999976,0,1.4799029999999994e-05,0.9858823,0.1644898,-0.03129983,3.0140990000000003,0.01982439,-0.7744751,0.03132057,0.1713367,0.9847146000000001,0.24887579999999998,0.0008054617999999999,0.9685351000000001,2,103.46229999999996,0.68076,-26.59019999999998,26.590651297197102,0.68076,103.45770492826747,89.63486176356696,75.58585463061631,106.82238941163594
"=""20190312172609374""","=""1552382769368374""",Testhuanghun_on,3.172919,0.5443848000000001,Floor 01,-372.9646,1.863089,340.6472,-476.4106,1.109712,367.2162,0.9999688,0,1.752379e-05,0.9860120000000001,0.16381410000000002,-0.03074447,3.014709,0.02196407,-0.7741699000000001,0.03076802,0.1715936,0.9846872999999999,0.2487381,0.0008917567999999998,0.9685703999999999,2,103.44599999999996,0.7533770000000001,-26.56900000000001,26.569490801545683,0.7533770000000001,103.44038750147541,89.59583013650025,75.59453690777727,106.80083887691585
"=""20190312172609396""","=""1552382769388869""",Testhuanghun_on,3.1257029999999997,0.5279835,Plane_01,-360.8827,-0.05,350.7484,-476.3981,1.110233,367.2161,0.9999524999999999,0,1.8038670000000002e-05,0.9863238000000001,0.1619941,-0.03038238,3.034119,-0.03045762,-0.4324951,0.03040688,0.1716067,0.9846961,0.14112829999999998,-0.0007049500999999999,0.9899911,2,115.5154,-1.160233,-16.46769999999998,16.468155602153896,-1.160233,115.50368283963331,90.56975449541378,81.8856345591313,116.6775344231684
"=""20190312172609418""","=""1552382769408389""",Testhuanghun_on,3.088277,0.5195972,Plane_01,-421.6764,-0.05,361.82300000000004,-476.3853,1.110391,367.2161,0.9999435,0,1.837811e-05,0.9864316999999999,0.16144139999999998,-0.02982571,3.042938,-0.06451762,-0.2998962,0.02985065,0.171929,0.984657,0.09807609,-0.001037485,0.9951784,1,54.70889999999997,-1.160391,-5.393099999999947,5.3917032489181365,-1.160391,54.684436424590174,91.20975643115874,84.36902675871197,54.96184638703762
"=""20190312172609443""","=""1552382769438645""",Testhuanghun_on,3.085948,0.5133497,Plane_01,-430.2985,-0.05,363.7249,-476.3651,1.1099809999999999,367.2162,0.9999541999999999,0,2.1269090000000002e-05,0.9862445,0.1626275,-0.02956348,3.046814,-0.07671392,-0.2308044,0.02959137,0.1720549,0.9846428,0.0755337,-0.0009499335000000001,0.9971428,1,46.0666,-1.159981,-3.491300000000024,3.490079561642629,-1.159981,46.037501960814616,91.43921611287134,85.66472851388374,46.18417259255563
"=""20190312172609464""","=""1552382769458165""",Testhuanghun_on,3.045023,0.5109429,Plane_01,-434.6353,-0.05,364.7476,-476.3433,1.109587,367.2162,0.9999663000000001,0,2.559778e-05,0.9860549999999999,0.1638474,-0.02915554,3.050415,-0.08479381,-0.18045039999999998,0.02918746,0.1719525,0.9846726999999998,0.05905561,-0.0008206342,0.9982544,2,41.708000000000034,-1.1595870000000001,-2.4686000000000377,2.467766793477661,-1.1595870000000001,41.67583468942508,91.5909992844107,86.61128040910695,41.76493399992207
"=""20190312172609486""","=""1552382769478661""",Testhuanghun_on,3.062949,0.5092366,Plane_01,-435.1145,-0.05,365.0493,-476.3196,1.109344,367.2162,0.9999743000000001,0,3.1081779999999996e-05,0.9858752000000001,0.1650116,-0.02865966,3.051971,-0.08583879,-0.1604004,0.02869668,0.17206939999999998,0.9846668,0.05249421,-0.0007384367999999999,0.9986209,2,41.20509999999996,-1.1593440000000002,-2.1668999999999983,2.166470444850959,-1.1593440000000002,41.172529073426716,91.61069227510876,86.98791299420117,41.245785518049196
"=""20190312172609508""","=""1552382769498181""",Testhuanghun_on,3.065353,0.5079878999999999,Plane_01,-435.0453,-0.05,365.245,-476.29900000000004,1.1096,367.2162,0.9999698,0,3.4132e-05,0.9859053,0.164949,-0.02797558,3.053131,-0.08575869,-0.145813,0.02801557,0.17261479999999998,0.9845908999999999,0.04771943,-0.0006706345,0.9988604999999999,2,41.25370000000004,-1.1596,-1.9712000000000105,1.9710542996376477,-1.1596,41.22113742362178,91.60953595287792,87.26239627462463,41.284523706944135
"=""20190312172609530""","=""1552382769518681""",Testhuanghun_on,3.166043,0.5071594,Plane_01,-436.1964,-0.05,365.4532,-476.283,1.110087,367.2162,0.9999555,0,3.51326e-05,0.9860271,0.1642895,-0.02755843,3.053833,-0.08830416,-0.13424679999999994,0.02759954,0.1735742,0.9844339,0.04393446,-0.0006357772,0.9990341999999999,2,40.08660000000003,-1.160087,-1.7630000000000337,1.7629348077135187,-1.160087,40.053058519346905,91.65743332441824,87.47975373715529,40.10861799835597
"=""20190312172609552""","=""1552382769548935""",Testhuanghun_on,3.055898,0.5060244,Plane_01,-437.4194,-0.05,365.6081,-476.2678,1.1104209999999999,367.2162,0.9999413,0,3.430776e-05,0.9862564,0.16292520000000002,-0.02746456,3.054169,-0.09116781,-0.1263733,0.02750508,0.1736161,0.9844291999999999,0.04135781,-0.0006178935,0.9991441999999999,2,38.848400000000034,-1.160421,-1.6081000000000358,1.6080006000469318,-1.160421,38.81377258715501,91.71100332449676,87.627672176971,38.86439482706991
