SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111153405598""","=""1578728045586386""",Testday_off,4.8520900000000005,0.5191074000000001,Plane_01,-437.6052,-0.05,368.2185,-477.1014,1.104178,367.5199,0.9999597,0,-1.3124520000000004e-05,0.9974687,0.01008435,0.07039119,3.004578,-0.08780134,0.0531311,-0.07040381,0.01906024,0.9973364,-0.01768619,0.0002587257,0.9998435,1,39.49619999999999,-1.1541780000000001,0.698599999999999,-0.6985220696862489,-1.1541780000000001,39.462502168377306,91.67501627036259,91.01408134589877,39.485556059484665
"=""20200111153405610""","=""1578728045606882""",Testday_off,4.855755,0.51928,Plane_01,-435.0414,-0.05,368.256,-477.0953,1.104076,367.5199,0.9999654,0,-1.3242349999999999e-05,0.9974455,0.01179243,0.07045355,3.00473,-0.08245337,0.05258179,-0.07046611,0.02009668,0.9973117,-0.01750364,0.0002404602,0.9998468,1,42.0539,-1.154076,0.7360999999999649,-0.7361027178884539,-1.154076,42.02225271936149,91.57290311720547,91.00354605734462,42.044541408308206
"=""20200111153405631""","=""1578728045626402""",Testday_off,4.905963,0.5195457,Plane_01,-434.1251,-0.05,368.2535,-477.0845,1.103949,367.5199,0.9999733000000001,0,-1.3648139999999995e-05,0.9974315999999999,0.01579311,0.06986339,3.005005,-0.08070719,0.05130005,-0.06987616,0.02309338,0.9972883,-0.01707654,0.0002296258,0.9998541,1,42.95940000000002,-1.153949,0.7335999999999672,-0.7336571272328715,-1.153949,42.92842469415504,91.53955901497044,90.97910336789259,42.950197878434516
"=""20200111153405644""","=""1578728045636162""",Testday_off,4.884478,0.5197468,Plane_01,-428.3253,-0.05,368.2863,-477.0755,1.1038620000000001,367.5199,0.9999780999999999,0,-1.34684e-05,0.997425,0.01719008,0.0696293,3.005554,-0.07113028,0.04724121,-0.06964153,0.02379318,0.9972883,-0.01572509,0.0001863584,0.9998763,1,48.75019999999995,-1.1538620000000002,0.766399999999976,-0.7666272313443031,-1.1538620000000002,48.722901104546565,91.35646458733892,90.90144222792543,48.74259130237443
"=""20200111153405656""","=""1578728045646898""",Testday_off,4.9120370000000015,0.5199435,Plane_01,-426.0007,-0.05,368.2827,-477.0665,1.103789,367.5199,0.9999822,0,-1.337691e-05,0.9974441999999999,0.018159900000000003,0.06910606,3.005737,-0.06790447,0.04489136,-0.06911834,0.02413403,0.9973165,-0.01494312,0.0001690658,0.9998884,1,51.06580000000002,-1.153789,0.7627999999999702,-0.7630936452033649,-1.153789,51.039740010865,91.29484592625646,90.85656368780964,51.05848216843666
"=""20200111153405677""","=""1578728045666434""",Testday_off,4.877985,0.5203222,Plane_01,-425.2589,-0.05,368.2437,-477.0509,1.103702,367.5199,0.9999872,0,-1.3527879999999995e-05,0.9974765999999999,0.01959098,0.06823704,3.0060119999999997,-0.06694579,0.04199219,-0.06824958,0.02463551,0.9973639999999999,-0.0139781,0.0001559249,0.9999023000000001,1,51.79200000000003,-1.153702,0.7237999999999829,-0.7241413917929962,-1.153702,51.76630847154272,91.27659964474014,90.80143902000883,51.78422638054013
"=""20200111153405690""","=""1578728045686913""",Testday_off,4.872525,0.5205907,Plane_01,-425.3047,-0.05,368.1434,-477.0389,1.1036549999999998,367.5199,0.9999901,0,-1.4008770000000007e-05,0.9974393,0.02156166,0.06819249999999999,3.0063779999999998,-0.0670284,0.03622437,-0.06820534,0.02601312,0.9973320999999999,-0.012059299999999998,0.0001347242,0.9999273000000001,2,51.73419999999999,-1.1536549999999999,0.6234999999999786,-0.6239145277243233,-1.1536549999999999,51.70848167108625,91.27800676907415,90.69129731520013,51.72511252695342
"=""20200111153405703""","=""1578728045696674""",Testday_off,4.913741,0.5207424,Plane_01,-422.4962,-0.05,368.1283,-477.0259,1.1036219999999999,367.5199,0.9999925,0,-1.4457320000000006e-05,0.9973677,0.02408429,0.06839345,3.006775,-0.06359756,0.03353882,-0.06840672,0.02795744,0.9972656999999999,-0.01116568,0.0001183739,0.9999377,2,54.52969999999999,-1.153622,0.6084000000000174,-0.6089158607004755,-1.153622,54.50529930507253,91.21242673340186,90.64006359053607,54.52090676593555
"=""20200111153405721""","=""1578728045716194""",Testday_off,4.843989,0.5210300999999999,Plane_01,-415.9123,-0.05,368.1866,-477.0074,1.103599,367.5199,0.9999949,0,-1.50145e-05,0.9972053,0.02938801,0.06868660000000001,3.0070189999999997,-0.05676258,0.0328064,-0.0687005,0.03257539,0.9971054,-0.01092236,0.0001033601,0.9999403,2,61.0951,-1.153599,0.6666999999999916,-0.6673794040398171,-1.153599,61.073318060206354,91.08205272713515,90.62607538777316,61.08785775262433
"=""20200111153405734""","=""1578728045726931""",Testday_off,4.828469,0.5210457000000001,mcp_road_part_02,-399.6897,-4.3380000000000003e-07,368.3303,-476.9909,1.1035840000000001,367.5199,0.9999964,0,-1.545936e-05,0.9971393,0.03171788,0.06860805,3.007477,-0.04292738,0.03152466,-0.06862164,0.03440589,0.9970493,-0.01049591,7.512172e-05,0.9999449,2,77.3012,-1.1035844338,0.8104000000000156,-0.8114296669629635,-1.1035844338,77.2854371708457,90.81804479147576,90.60153359837169,77.29757509389083
