SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111160403309""","=""1578729843300336""",TestNight_on,4.984885,0.5088242000000001,mcp_road_part_02,-463.3873,-3.13784e-06,367.8196,-476.5996,1.10979,367.2228,0.9999624,0,0.00045471300000000004,0.9980538000000001,-0.006386129,0.06203558,2.995514,-0.2514901,0.1352234,-0.06158187,0.002274337,0.9980994000000001,-0.04448718,0.00182516,0.9990083000000001,1,13.212300000000026,-1.10979313784,0.5967999999999734,-0.5866611542943571,-1.10979313784,13.120189133398194,94.83014667730617,92.56024001067759,13.18010527328575
"=""20200111160403330""","=""1578729843320832""",TestNight_on,4.9743010000000005,0.5089202,mcp_road_part_02,-463.0755,-3.2724329999999996e-06,367.8149,-476.5884,1.1096139999999999,367.2229,0.9999714,0,0.0004530007,0.998109,-0.005299732,0.06124185,2.996094,-0.2458586,0.1311951,-0.06078942,0.0022586010000000003,0.9981481,-0.04315096,0.001729571,0.9990671,1,13.512900000000002,-1.1096172724329998,0.5920000000000414,-0.5819617954374101,-1.1096172724329998,13.42283083855617,94.72127613384379,92.48256763817942,13.48118384056552
"=""20200111160403352""","=""1578729843340352""",TestNight_on,4.971232,0.5089912999999999,mcp_road_part_02,-462.9263,-3.337734e-06,367.8076,-476.5746,1.109458,367.2228,0.9999789000000001,0,0.0004500869,0.9981861999999999,-0.004583724,0.06002872,2.996521,-0.2433714,0.1282654,-0.05957955,0.001902404,0.9982218,-0.04217876,0.001672764,0.9991087,1,13.64829999999995,-1.109461337734,0.5847999999999729,-0.5748651676356669,-1.109461337734,13.559127891329195,94.67356602689995,92.42771028296016,13.616582669462577
"=""20200111160403374""","=""1578729843370608""",TestNight_on,4.986536,0.5090634,mcp_road_part_02,-462.8357,-3.379489e-06,367.7913,-476.5581,1.10933,367.2228,0.9999851999999999,0,0.0004476795,0.9982148999999999,-0.003368735,0.05963246,2.996918,-0.24200879999999997,0.12402339999999999,-0.05918541,0.002056899,0.9982449000000001,-0.04076994,0.001606686,0.9991673000000001,1,13.72240000000005,-1.109333379489,0.5684999999999718,-0.5587115369472899,-1.109333379489,13.633705751231473,94.64785252603184,92.34667754422237,13.690168429918188
"=""20200111160403397""","=""1578729843391106""",TestNight_on,4.954148,0.5091051,mcp_road_part_02,-462.6389,-3.463983e-06,367.791,-476.5375,1.109215,367.2228,0.9999903,0,0.00044661230000000003,0.9982470999999999,-0.001893014,0.05915438,2.997284,-0.2388756,0.12237550000000001,-0.05870839,0.002468409,0.9982721,-0.04022264,0.001564096,0.9991895000000001,2,13.898600000000044,-1.109218463983,0.5681999999999903,-0.5584416474529382,-1.109218463983,13.811032474137123,94.58806093113053,92.3154625998171,13.866753068981971
"=""20200111160403420""","=""1578729843410624""",TestNight_on,5.025925,0.5090746,mcp_road_part_02,-462.4161,-3.5592599999999997e-06,367.7926,-476.5144,1.109138,367.2228,0.999994,0,0.00044623419999999996,0.9982519,-0.0002553277,0.05910248,2.997681,-0.23546309999999998,0.12097169999999999,-0.05865686,0.003175555,0.9982731,-0.03975551,0.0015233520000000002,0.9992083,2,14.098300000000052,-1.10914155926,0.5697999999999865,-0.5600481181286548,-1.10914155926,14.011970219139835,94.52231289235063,92.28885173414339,14.066952701817078
"=""20200111160403442""","=""1578729843440880""",TestNight_on,4.950303,0.5091223,mcp_road_part_02,-462.13800000000003,-3.676463e-06,367.8046,-476.4894,1.109093,367.2228,0.9999964,0,0.00044647269999999997,0.9981981,0.0007683635,0.06000085,2.997986,-0.2312931,0.12133789999999996,-0.0595555,0.003423986,0.9982190999999999,-0.03987694,0.001500955,0.9992034,2,14.351399999999956,-1.109096676463,0.581799999999987,-0.5719819007323371,-1.109096676463,14.266592065543868,94.44172640752596,92.29589563593967,14.321065180256177
"=""20200111160403464""","=""1578729843460401""",TestNight_on,5.006313,0.5091652,mcp_road_part_02,-462.0207,-3.724065e-06,367.8198,-476.463,1.109061,367.2228,0.9999979999999999,0,0.0004465221,0.9981681999999998,0.00142815,0.06048489,2.998108,-0.22981910000000005,0.1237183,-0.0600391,0.0034382909999999996,0.9981901,-0.04066642,0.001521531,0.9991716,2,14.442300000000046,-1.109064724065,0.59699999999998,-0.5870948504638522,-1.109064724065,14.358038280737695,94.41328090393905,92.34149875151466,14.412771010348273
"=""20200111160403487""","=""1578729843480896""",TestNight_on,5.098644999999999,0.5090982,mcp_road_part_02,-461.913,-3.7687630000000003e-06,367.8283,-476.4309,1.109029,367.2228,0.9999988999999999,0,0.0004475997,0.9981315000000001,0.001476925,0.06108398,2.9982599999999997,-0.22854029999999997,0.1247864,-0.0606375,0.002863705,0.9981558,-0.04101888,0.001526327,0.9991572,3,14.517899999999996,-1.1090327687630002,0.6055000000000064,-0.5955325052204503,-1.1090327687630002,14.43408512962188,94.38992821968662,92.36261301254495,14.488872494992004
"=""20200111160403510""","=""1578729843500416""",TestNight_on,4.9738940000000005,0.5090688,mcp_road_part_02,-461.9254,-3.761558e-06,367.8388,-476.3968,1.108994,367.2228,0.9999995999999999,0,0.00044874739999999997,0.9980952,0.001094565,0.06168348,2.998169,-0.2292272,0.12734990000000002,-0.06123543,0.0019381670000000002,0.9981214,-0.0418686,0.001563254,0.9991219000000001,3,14.471399999999962,-1.108997761558,0.6159999999999854,-0.605953764609994,-1.108997761558,14.38733481605874,94.40384167950647,92.41171050553203,14.442730320454013
"=""20200111160403531""","=""1578729843520912""",TestNight_on,5.093572,0.5090210999999999,mcp_road_part_02,-461.9871,-3.73404e-06,367.8449,-476.3617,1.1089639999999998,367.2228,0.9999998999999999,0,0.00044991110000000003,0.9981059999999999,0.0006099753,0.06151724,2.998016,-0.2307315,0.1294556,-0.06106846,0.0009930766999999999,0.9981331,-0.0425664,0.001600249,0.9990923,3,14.374599999999988,-1.10896773404,0.622099999999989,-0.6119969878753224,-1.10896773404,14.289986691583294,94.43347043262924,92.45230669089082,14.346012316805599
"=""20200111160403554""","=""1578729843551168""",TestNight_on,5.011672,0.5089988,mcp_road_part_02,-462.0478,-3.708908e-06,367.8397,-476.3231,1.108938,367.2228,1.0,0,0.0004509687,0.9981309000000002,0.00043451410000000003,0.06111515,2.997864,-0.2322577,0.1292114,-0.06066535,0.0003998919,0.9981581,-0.04248491,0.001607655,0.9990958000000001,4,14.275300000000017,-1.108941708908,0.6168999999999869,-0.6068072242362491,-1.108941708908,14.190105064323724,94.4644589759924,92.44863047044389,14.246299465394053
"=""20200111160403575""","=""1578729843570688""",TestNight_on,5.064694,0.5089872000000001,mcp_road_part_02,-462.0735,-3.699162e-06,367.8326,-476.2817,1.108911,367.2229,0.9999998999999999,0,0.0004521274,0.9981298000000001,0.0006194375,0.06112628,2.997864,-0.2333006,0.1282959,-0.06067487,0.00021773970000000002,0.9981575999999999,-0.04217898,0.001602892,0.9991088,4,14.208199999999973,-1.108914699162,0.6097000000000321,-0.599630139035123,-1.108914699162,14.122605684507489,94.48565901798838,92.43125482389608,14.178760151499146
