SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111150441579""","=""1578726281573164""",Testhuanghun_on,4.261888,0.5189554,Kooper,-476.4295,1.00169,367.5065,-477.1383,1.105,367.5186,0.9998604,0,-0.00033003940000000004,0.9894924999999999,0.14411079999999998,0.01170394,3.099609,-0.4572949000000001,-0.05331421,-0.01199205,0.1606283,0.9869421,0.01669068,-0.0011760639999999999,0.9998600000000001,1,0.7087999999999965,-0.10330999999999999,-0.012099999999975351,0.01161926640815262,-0.10330999999999999,0.6940635310811606,98.46503603344593,89.04090517045996,0.7018063469567034
"=""20200111150441603""","=""1578726281592685""",Testhuanghun_on,4.351058,0.5195959,Kooper,-476.4467,0.9870911,367.5027,-477.1515,1.105176,367.5184,0.9998386,0,-0.0005505907,0.9897128000000001,0.142591,0.011686499999999999,3.109955,-0.5304696999999999,-0.07037354,-0.01218273,0.1603506,0.9869849,0.02176589,-0.001749535,0.9997616,1,0.7047999999999774,-0.11808489999999995,-0.015699999999981173,0.014893997570068285,-0.11808489999999995,0.6855733945342061,99.77061671068674,88.75545201778588,0.6958281066935866
"=""20200111150441625""","=""1578726281613181""",Testhuanghun_on,4.370657,0.5195784000000001,Kooper,-476.4613,0.9823984,367.5021,-477.1661,1.105292,367.5181,0.9998186,0,-0.000796826,0.990223,0.1391192,0.01021589,3.1118770000000002,-0.5538839,-0.07189941,-0.0109502,0.157946,0.9873871,0.02196932,-0.0017989360000000001,0.9997571,1,0.7047999999999774,-0.12289359999999995,-0.016000000000019554,0.014982986342840206,-0.12289359999999995,0.6840262952169901,100.18282851663422,88.74518767238098,0.6951397696499536
"=""20200111150441648""","=""1578726281643437""",Testhuanghun_on,4.346266,0.5196213,Kooper,-476.4775,0.9791865,367.5009,-477.1852,1.1053959999999998,367.5178,0.9997964,0,-0.001116131,0.9906014000000001,0.1364739,0.009165218000000001,3.110504,-0.5701725000000001,-0.07516479,-0.01021259,0.15641170000000001,0.9876391,0.02268261,-0.00185854,0.999741,1,0.7076999999999884,-0.12620949999999986,-0.01690000000002101,0.015613645319865059,-0.12620949999999986,0.685915794037135,100.42324790720504,88.69598933322705,0.6976052611040271
"=""20200111150441668""","=""1578726281662956""",Testhuanghun_on,4.295058999999998,0.5197489000000001,Kooper,-476.49699999999996,0.9742658000000002,367.5002,-477.2052,1.105465,367.5175,0.9997763000000001,0,-0.001448853,0.990748,0.1355221,0.00725092,3.1109009999999997,-0.5928759,-0.07946777,-0.008625509,0.1564056,0.9876552,0.02368788,-0.0019630570000000003,0.9997174999999999,2,0.7082000000000335,-0.13119919999999974,-0.017299999999977445,0.015734002661032143,-0.13119919999999974,0.6847379595680212,100.84390070617381,88.68368136458616,0.6973713947343655
"=""20200111150441691""","=""1578726281683453""",Testhuanghun_on,4.359158,0.5207801999999999,Kooper,-476.5169,0.9738591000000001,367.4983,-477.2303,1.105537,367.5171,0.9997541,0,-0.00186613,0.9907696,0.1354287,0.005912796999999999,3.110016,-0.5949879,-0.08578491,-0.007698981999999998,0.1572981,0.9875212,0.02528267,-0.002042455,0.9996783000000001,2,0.7133999999999787,-0.1316778999999999,-0.01880000000005566,0.016893209392099998,-0.1316778999999999,0.6899444344836808,100.8019636750477,88.5973997352583,0.7026007205710663
"=""20200111150441715""","=""1578726281702973""",Testhuanghun_on,4.430214,0.5204672,Kooper,-476.5409,0.9704946,367.4953,-477.2587,1.1055840000000001,367.5166,0.9997326999999999,0,-0.00233527,0.9908227,0.1350395,0.005892586,3.111816,-0.6095728,-0.09759521,-0.00814331,0.1577991,0.9874377000000001,0.02851547,-0.002312835,0.9995906999999999,2,0.7177999999999543,-0.13508940000000014,-0.021299999999996544,0.01895255260359609,-0.13508940000000014,0.6933129847530067,101.0217029938651,88.4341402315877,0.706605434503355
"=""20200111150441740""","=""1578726281733228""",Testhuanghun_on,4.4787870000000005,0.520588,Kooper,-476.5914,0.9742712,367.496,-477.2932,1.105607,367.5161,0.9997107,0,-0.0029083579999999998,0.9910104,0.13363699999999998,0.006294778000000001,3.111816,-0.612376,-0.09597778,-0.009114043,0.1572613,0.9875149999999999,0.02745019,-0.002107771,0.9996209999999999,3,0.7017999999999915,-0.1313358,-0.02010000000001355,0.017447696870873924,-0.1313358,0.6781257286598309,100.95750009568913,88.52614516236382,0.6909471892685898
"=""20200111150441760""","=""1578726281752749""",Testhuanghun_on,4.533551,0.5210971,Kooper,-476.62300000000016,0.9711856,367.4952,-477.3259,1.105604,367.5156,0.9996931,0,-0.0034541240000000003,0.9911211999999999,0.1327304,0.007859501,3.11203,-0.6244835999999999,-0.09585571,-0.01122027,0.1570103,0.9875332,0.02686709,-0.00198213,0.9996371,3,0.7028999999999428,-0.13441840000000005,-0.02039999999999509,0.017337728618997753,-0.13441840000000005,0.6781856069289665,101.20732706292361,88.5355596769745,0.691595705985684
"=""20200111150441782""","=""1578726281773244""",Testhuanghun_on,4.485793,0.5213684000000001,Kooper,-476.6571,0.9682691999999999,367.4948,-477.3629,1.105594,367.515,0.9996759,0,-0.004074729,0.9912177,0.1318911,0.00960592,3.113312,-0.6393706,-0.09667969,-0.01358323,0.15676679999999998,0.9875421999999998,0.02649692,-0.00186384,0.9996470999999999,3,0.7058000000000106,-0.13732480000000002,-0.02019999999998845,0.01669161930080564,-0.13732480000000002,0.6801497992726078,101.41143029774854,88.59418114134058,0.6940752555022341
"=""20200111150441803""","=""1578726281792765""",Testhuanghun_on,4.559736,0.5215232,Kooper,-476.6933,0.9663421,367.4938,-477.4031,1.105577,367.5144,0.9996596,0,-0.004752967,0.9914004000000001,0.130365,0.01142572,3.113739,-0.6481857,-0.09594727,-0.01607823,0.15576320000000002,0.9876636000000001,0.02560047,-0.001656748,0.9996709,4,0.7097999999999729,-0.13923490000000005,-0.020600000000001728,0.016587275273785663,-0.13923490000000005,0.6836074980335055,101.50904697687709,88.61002926273585,0.6978400292664843
