SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111150719149""","=""1578726439141211""",TestNight_on,5.337895,0.5450488,Kooper,-475.9271,0.922637,367.1628,-476.5924,1.109694,367.2203,0.9999646000000001,0,-4.5555609999999995e-05,0.9920619,0.12105139999999999,0.03406383,3.138489,-0.8708805000000001,-0.2643738,-0.03410523,0.1294133,0.9910040000000001,0.08086087,-0.01097998,0.9966649,1,0.6653000000000021,-0.18705699999999992,-0.05750000000000455,0.053288371216878336,-0.18705699999999992,0.6168972284453816,106.80942581943957,85.0629725623554,0.6468324065935017
"=""20200111150719173""","=""1578726439170491""",TestNight_on,5.299951,0.5453201999999999,Kooper,-475.9179,0.9215190000000001,367.1615,-476.5801,1.109509,367.2203,0.9999735999999999,0,-3.337776e-05,0.9919902,0.12162719999999999,0.03409348,3.140228,-0.8762273000000002,-0.2711792,-0.03412334,0.1288501,0.9910768,0.08286201,-0.01131491,0.9964968000000001,1,0.6622000000000412,-0.18799,-0.058800000000019274,0.05442592385877912,-0.18799,0.6131718833906118,106.98191135633803,84.92764611199311,0.6436475587374441
"=""20200111150719193""","=""1578726439190986""",TestNight_on,5.270354,0.54572,Kooper,-475.9067,0.9204286,367.1611,-476.5661,1.10937,367.2203,0.9999806,0,-2.004145e-05,0.9918593000000001,0.1225521,0.03458401,3.141785,-0.8822249,-0.2731628,-0.03460116,0.1287362,0.991075,0.08339732,-0.01146105,0.9964504999999999,1,0.6594000000000051,-0.18894139999999995,-0.05920000000003256,0.054729300304204836,-0.18894139999999995,0.6097402640549078,107.15185714108006,84.87096812575248,0.6406850541065372
"=""20200111150719217""","=""1578726439210507""",TestNight_on,5.282776999999999,0.546158,Kooper,-475.8926,0.9207806999999999,367.1607,-476.5478,1.109228,367.2203,0.9999870999999999,0,-2.637148e-06,0.991742,0.1233451,0.035124800000000005,3.143036,-0.8801849,-0.2757263,-0.03512486,0.1284099,0.9910989,0.0841739,-0.01154204,0.9963841999999998,1,0.6551999999999794,-0.1884473000000002,-0.05959999999998901,0.05507928073254858,-0.1884473000000002,0.6055201285275076,107.22009111948546,84.80256835341731,0.6365537982726003
"=""20200111150719239""","=""1578726439231004""",TestNight_on,5.161657,0.546669,Kooper,-475.8756,0.9220188,367.1609,-476.5274,1.109129,367.2204,0.9999916,0,1.685021e-05,0.9915834000000001,0.124725,0.03473154,3.143707,-0.8756033000000001,-0.276825,-0.03471243,0.1287943,0.9910636,0.08453998,-0.0115369,0.9963533000000001,2,0.6517999999999802,-0.1871102,-0.05949999999995725,0.05501482147986129,-0.1871102,0.6025544133144363,107.18380684406729,84.78320680329372,0.6333314128726014
"=""20200111150719262""","=""1578726439251147""",TestNight_on,5.09882,0.5468799,Kooper,-475.856,0.9243655999999999,367.1605,-476.5023,1.109063,367.2204,0.9999950000000001,0,3.965847000000001e-05,0.9913649999999999,0.1264108,0.03486978,3.144073,-0.8653095,-0.2785339000000001,-0.03482804,0.12955319999999998,0.9909606,0.08514112,-0.01149181,0.9963026,2,0.6462999999999965,-0.1846974,-0.059899999999970525,0.055436766292313436,-0.1846974,0.5978852375228947,107.09781319240166,84.70260054219816,0.6282142324649425
"=""20200111150719283""","=""1578726439280425""",TestNight_on,5.06762,0.5175202999999999,Kooper,-475.8131,0.9221152,367.1584,-476.4783,1.109026,367.2204,0.9999969999999999,0,6.067759e-05,0.991165,0.12806900000000002,0.03450061,3.144806,-0.8531542999999999,-0.28054809999999997,-0.03443807,0.1305187,0.9908476,0.08583679,-0.01143129,0.9962437,2,0.6651999999999703,-0.18691080000000004,-0.06200000000001182,0.05753682599840512,-0.18691080000000004,0.6169093544702203,106.7869949191791,84.67165118039176,0.6471655778357457
"=""20200111150719307""","=""1578726439300922""",TestNight_on,5.6905529999999995,0.5185138,Kooper,-475.7714,0.9541702,367.2096,-476.4473,1.108989,367.2205,0.9999985,0,8.808375e-05,0.9911085999999999,0.12866480000000002,0.03389834,3.116547,-0.6827113,-0.04669189,-0.03380876,0.1304052,0.9908841999999999,0.01471733,-0.001612085,0.9998904000000001,3,0.6758999999999561,-0.15481880000000006,-0.010899999999992359,0.010413326593320863,-0.15481880000000006,0.6422130930800313,103.55201232335035,89.07104450217574,0.6606927842254675
"=""20200111150719328""","=""1578726439321418""",TestNight_on,4.8872230000000005,0.5203161000000001,Kooper,-475.7441,0.9539470999999999,367.2072,-476.4164,1.108955,367.2205,0.9999993,0,0.0001143237,0.9910914000000001,0.1288097,0.03385638,3.118073,-0.6876177,-0.05633545,-0.03374123,0.1299745,0.9909431000000001,0.01774967,-0.001958661,0.9998405999999999,3,0.6723000000000071,-0.15500789999999998,-0.013300000000015187,0.012701896607860828,-0.15500789999999998,0.6383759607608115,103.64559345818331,88.86012460594209,0.657048441530102
"=""20200111150719351""","=""1578726439340579""",TestNight_on,4.851765,0.5207887,Kooper,-475.7149,0.9531997,367.2044,-476.3813,1.108925,367.2205,0.9999998,0,0.0001435427,0.9911190000000001,0.1285194,0.03415291,3.119385,-0.6926804,-0.07022095,-0.03400862,0.1291433,0.9910426,0.02210724,-0.0024561879999999998,0.9997526,3,0.6664000000000101,-0.15572529999999996,-0.016099999999994452,0.015357517832609004,-0.15572529999999996,0.6319110407937686,103.83993498786432,88.60779806266059,0.6509975314017195
"=""20200111150719372""","=""1578726439370835""",TestNight_on,4.897399,0.5247139000000001,Kooper,-475.6826,0.9539235,367.2037,-476.3454,1.108897,367.2206,1.0,0,0.0001723084,0.9911655999999999,0.12829870000000002,0.03362034,3.119141,-0.6922036,-0.07241821,-0.03344733,0.1284661,0.9911496999999999,0.02282419,-0.0025396,0.9997362,3,0.6628000000000043,-0.1549735,-0.016899999999964166,0.016132797132586075,-0.1549735,0.628461354933425,103.84792884526104,88.52952258029538,0.6474880133950957
