SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111153610534""","=""1578728170522623""",Testhuanghun_off,4.835625,0.5217242999999999,Kooper,-476.385,1.026983,367.5195,-477.0939,1.103921,367.5201,0.9999667,0,0.0001154167,0.9978421000000001,0.0271519,0.05978485,3.014771,-0.32367440000000003,-0.002380371,-0.05967047,0.03530848,0.9975934999999999,0.0008991592,-6.048623000000001e-05,0.9999995999999999,1,0.7089000000000283,-0.07693799999999995,-0.0006000000000199178,0.0006738838838465228,-0.07693799999999995,0.7006469467361089,96.26653601157484,89.94489280128833,0.7048588893772433
"=""20200111153610557""","=""1578728170552880""",Testhuanghun_off,5.70552,0.5216613,Kooper,-476.375,1.027949,367.5199,-477.08099999999996,1.1037620000000001,367.5203,0.9999753,0,0.00018354740000000002,0.9978014999999999,0.02794624,0.06009471,3.015259,-0.318619,-0.0009460449,-0.05991288,0.03494917,0.9975915999999999,0.0004935348000000001,-4.5345140000000003e-05,0.9999998999999999,1,0.7059999999999604,-0.07581300000000013,-0.0004000000000132786,0.0005235504452789406,-0.07581300000000013,0.697951633310567,96.19928338069877,89.95702105444178,0.702057239486181
"=""20200111153610578""","=""1578728170572400""",Testhuanghun_off,5.667436,0.5216454,Kooper,-476.36300000000006,1.0287959999999998,367.52,-477.0668,1.103636,367.5203,0.9999819999999999,0,0.0002573499,0.9977795,0.028488599999999996,0.06020522,3.015411,-0.31498940000000003,0.00012207030000000001,-0.05995004,0.03446404,0.9976062,0.000214306,-3.7973090000000003e-05,1.0,1,0.7037999999999442,-0.07484000000000024,-0.0003000000000383807,0.0004757465704505572,-0.07484000000000024,0.6959306212727693,96.13796670887844,89.96083191984192,0.6999433416783832
"=""20200111153610599""","=""1578728170592896""",Testhuanghun_off,5.985378,0.5216208999999999,Kooper,-476.3489,1.029215,367.5204,-477.0486,1.103513,367.5204,0.9999879999999999,0,0.0003489958,0.9977455,0.02929914,0.06037788,3.0155939999999997,-0.3126366,0.0002746582,-0.06003147,0.03418954,0.9976108,0.00025468509999999997,-4.9251999999999995e-05,0.9999998999999999,1,0.6997000000000071,-0.07429799999999998,0.0,0.00024147258588277085,-0.07429799999999998,0.6918985506752238,96.12909423431962,89.98000377444936,0.6958763220138223
"=""20200111153610632""","=""1578728170623155""",Testhuanghun_off,5.703578,0.5216128,Kooper,-476.3145,1.02815,367.5207,-477.0161,1.103393,367.5206,0.999994,0,0.0005071934,0.9976965,0.03042359,0.06063386,3.015869,-0.30963609999999997,0.0006408691,-0.06013011,0.03387788,0.9976155000000001,0.0002905042,-6.681060000000001e-05,0.9999998999999999,2,0.7015999999999849,-0.07524300000000017,9.999999997489796e-05,0.00025293981407561463,-0.07524300000000017,0.6936222902947731,96.191141961988,89.97910623205493,0.6976915182380505
"=""20200111153610654""","=""1578728170642671""",Testhuanghun_off,5.929429,0.5215902,Kooper,-476.2927,1.030157,367.5208,-476.9916,1.103343,367.5208,0.9999964,0,0.0006220208999999999,0.9976556999999999,0.03133377,0.06084229,3.0161740000000004,-0.3055152,0.0013427729999999998,-0.06022361,0.03398033,0.9976063000000001,0.00017276529999999998,-7.15729e-05,1.0,2,0.6988999999999805,-0.07318599999999997,0.0,0.00043001656837961434,-0.07318599999999997,0.6913192471828009,96.04306580063721,89.96436070395603,0.6951824775090665
"=""20200111153610677""","=""1578728170672928""",Testhuanghun_off,7.013133,0.5216118,Kooper,-476.2692,1.0309780000000002,367.5212,-476.9629,1.1033030000000001,367.5209,0.9999979999999999,0,0.0007529736,0.9976486999999999,0.03187921,0.06067184,3.016418,-0.30226220000000004,0.0021972660000000002,-0.0599229,0.03377684,0.9976314000000001,2.0665389999999996e-05,-7.629668000000001e-05,1.0,2,0.6936999999999784,-0.07232499999999997,0.0003000000000383807,0.0002199479128105034,-0.07232499999999997,0.6862405282196806,96.01636772282309,89.98163605009178,0.690041315120559
"=""20200111153610700""","=""1578728170692448""",Testhuanghun_off,5.721699,0.5215704000000001,Kooper,-476.2435,1.031833,367.52099999999996,-476.9315,1.103274,367.5211,0.9999988999999999,0,0.0008921733999999998,0.9976405999999999,0.03277141,0.06032689,3.016571,-0.29997870000000004,0.001586914,-0.05943958,0.03401036,0.9976524,0.0003599328,-0.00010635520000000001,0.9999998999999999,3,0.688000000000045,-0.07144100000000009,-0.00010000000003174135,0.0007062010998177307,-0.07144100000000009,0.6806604378076498,95.99172968557565,89.94055431204616,0.684399698127852
"=""20200111153610722""","=""1578728170712947""",Testhuanghun_off,5.690727,0.5215446,Kooper,-476.1868,1.03006,367.52099999999996,-476.8971,1.103243,367.5212,0.9999992,0,0.001040849,0.9976456,0.03306378,0.06008213,3.016785,-0.296856,0.0008239746000000001,-0.05904579,0.03371679,0.9976857,0.0007590261,-0.000139429,0.9999996999999999,3,0.7103000000000179,-0.073183,-0.00020000000006348278,0.0009294486493531533,-0.073183,0.7028384886807599,95.94449153716393,89.92423087992968,0.7066389152423227
"=""20200111153610745""","=""1578728170732463""",Testhuanghun_off,5.994333999999999,0.5215273,Kooper,-476.1543,1.03052,367.5214,-476.8608,1.103218,367.5215,0.9999993,0,0.0011920910000000002,0.9976658000000002,0.03329119,0.05962273,3.0168459999999997,-0.2953962,0.00024414060000000002,-0.0584355,0.033431800000000005,0.9977312,0.0011002030000000001,-0.0001701809,0.9999994000000001,3,0.7065000000000055,-0.07269799999999993,-9.999999997489796e-05,0.0009323404397523405,-0.07269799999999993,0.6990972240006637,95.93675319422012,89.92358839548612,0.7028675530056354
