SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r
"=""20200111155501639""","=""1578729301632692""",Testday_off,4.724911,0.5488718,mcp_road_part_02,-451.0822,-4.042057e-06,368.2968,-477.1041,1.104061,367.5245,0.9999593000000001,0,-0.0001074743,0.985087,-0.01286342,0.17157679999999995,3.027832,-0.12845630000000002,0.08984375,-0.17168339999999999,-0.003954483,0.9851443000000001,-0.02974018,0.0006350008,0.9995574,1,26.02190000000001,-1.104065042057,0.7723000000000297,-0.7737052267266332,-1.104065042057,25.97509863941451,92.4328000037066,91.70613175874767,26.010062066866933
"=""20200111155501652""","=""1578729301642453""",Testday_off,4.744576,0.5475088,mcp_road_part_02,-452.0898,-3.556236e-06,368.5989,-477.0979,1.1039450000000002,367.5245,0.9999650999999999,0,-0.0001448694,0.9850644000000001,-0.01265351,0.1717207,3.021027,-0.13333979999999998,0.1297607,-0.1718639,-0.004402682,0.9851109,-0.04301576,0.0009547884,0.9990739,1,25.008099999999967,-1.103948556236,1.0744000000000256,-1.075930263002055,-1.103948556236,24.959396290754853,92.5301823427957,92.46833379111781,25.006954863489604
"=""20200111155501665""","=""1578729301662948""",Testday_off,4.723018,0.5458693,mcp_road_part_02,-452.3997,-3.409624e-06,368.6758,-477.0903,1.103831,367.5245,0.9999709000000001,0,-0.0001900615,0.9850985999999999,-0.01221037,0.17155689999999998,3.0192259999999997,-0.13495179999999998,0.1407471,-0.1717444,-0.004660208,0.9851305,-0.0467095,0.001051299,0.998908,1,24.69060000000001,-1.103834409624,1.151299999999992,-1.153691982853586,-1.103834409624,24.641237484401678,92.56211696201143,92.68060583698049,24.692914780516556
"=""20200111155501683""","=""1578729301672710""",Testday_off,4.732702,0.5453137,mcp_road_part_02,-452.6751,-3.275735e-06,368.7646,-477.0798,1.103708,367.5244,0.9999769000000001,0,-0.0002517239,0.9852692,-0.01257002,0.17054879999999994,3.016998,-0.13640120000000006,0.1532593,-0.1707981,-0.005851593,0.9852886999999999,-0.05093243,0.00116139,0.9987014999999999,1,24.40469999999999,-1.1037112757349998,1.2401999999999591,-1.2438059043940728,-1.1037112757349998,24.354701868479783,92.59139368941376,92.92358200730897,24.411405834374285
"=""20200111155501695""","=""1578729301692227""",Testday_off,4.729928,0.5447544,mcp_road_part_02,-452.9036,-3.178313e-06,368.7613,-477.0707,1.103616,367.5244,0.9999809000000001,0,-0.0003044668,0.9853975,-0.01259793,0.16980250000000002,3.016388,-0.13770629999999998,0.15432739999999998,-0.1701034,-0.006508693,0.9854046999999999,-0.05134656,0.001184564,0.9986802,1,24.167100000000005,-1.1036191783129998,1.2368999999999917,-1.2416755373373485,-1.1036191783129998,24.11656099583109,92.61667355607553,92.94735242877391,24.173709845540955
"=""20200111155501708""","=""1578729301702964""",Testday_off,4.747046,0.5445017,mcp_road_part_02,-453.2226,-3.0410669999999997e-06,368.7635,-477.0608,1.103542,367.5243,0.9999847,0,-0.00036144519999999997,0.9855282,-0.01247128,0.1690534,3.0156560000000003,-0.13955520000000002,0.1567078,-0.1694112,-0.006974633,0.9855208000000001,-0.05219958,0.001223066,0.9986359,1,23.838199999999965,-1.103545041067,1.2392000000000394,-1.245155009797546,-1.103545041067,23.78691127034436,92.6525892659778,92.99648284907663,23.845028212172927
"=""20200111155501720""","=""1578729301712724""",Testday_off,4.761304,0.5443034999999999,mcp_road_part_02,-453.2776,-3.01876e-06,368.7563,-477.0502,1.1034700000000002,367.5243,0.9999876,0,-0.0004212387,0.985627,-0.012153200000000001,0.16849909999999999,3.015472,-0.13991789999999998,0.15621949999999998,-0.1689156,-0.007243745,0.9856039000000001,-0.05210092,0.001226805,0.9986411000000001,2,23.77260000000001,-1.10347301876,1.2320000000000275,-1.239350779565253,-1.10347301876,23.72110592304043,92.65977775846521,92.99079910927482,23.779077132429766
"=""20200111155501740""","=""1578729301732245""",Testday_off,4.742737,0.5439771999999999,mcp_road_part_02,-453.2401,-3.03462e-06,368.7575,-477.0333,1.1033899999999999,367.5241,0.9999914000000001,0,-0.00051579,0.9857723,-0.01156724,0.1676889,3.01532,-0.13974360000000002,0.15618900000000002,-0.168199,-0.007454271,0.9857249,-0.052187800000000006,0.001231728,0.9986364999999999,2,23.79320000000001,-1.1033930346199998,1.2334000000000174,-1.243006219456281,-1.1033930346199998,23.741639294531478,92.65727329821458,92.99701479568856,23.79974741551045
"=""20200111155501751""","=""1578729301742979""",Testday_off,4.877466,0.5436903000000001,mcp_road_part_02,-453.1343,-3.0791000000000007e-06,368.7626,-477.0201,1.10335,367.524,0.9999931000000001,0,-0.0005870222,0.9858388000000001,-0.01104658,0.1673318,3.015015,-0.1392001,0.15625,-0.1679119,-0.007426686,0.9857739999999999,-0.05228457,0.001232582,0.9986315,2,23.88580000000001,-1.1033530791,1.2386000000000197,-1.2499613869852966,-1.1033530791,23.83434794818866,92.6468441189477,93.00205244877125,23.892591604960707
"=""20200111155501764""","=""1578729301762500""",Testday_off,4.677008,0.5432413,mcp_road_part_02,-452.7995,-3.217939e-06,368.7896,-477.0063,1.10332,367.524,0.9999948000000001,0,-0.0006616409,0.9858758,-0.010771600000000001,0.1671322,3.014771,-0.1373353,0.1575317,-0.16778610000000002,-0.007618485,0.9857940000000001,-0.05278758,0.00123101,0.998605,2,24.20679999999999,-1.103323217939,1.2656000000000065,-1.2789662652481428,-1.103323217939,24.155911406900554,92.61151898365759,93.03076989679985,24.214894852732982
