SystemTime,Timestamp,NowSsceneName,PupilRadiusH,GazePointX,Hitname,HitPointX,HitPointY,HitPointZ,CameraPosX,CameraPosY,CameraPosZ,CarDirX,CarDirY,CarDirZ,CameraDirX,CameraDirY,CameraDirZ,EyeDirX,EyeDirY,EyeDirZ,HeadLocalDirX,HeadLocalDirY,HeadLocalDirZ,EyeLocalDirX,EyeLocalDirY,EyeLocalDirZ,speed,VecX,VecY,VecZ,LocalVecX,LocalVecY,LocalVecZ,Theta,Phi,r,Theta_Head,Phi_Head,r_Head_value_is_1
"=""20190304164336009""","=""1551689015999685""",Testhuanghun_off,5.218685,0.5573111999999999,Kooper,-475.9645,0.8710048,367.219,-476.6172,1.109746,367.2177,0.9999604,-0.008904051,-0.0003197993,0.9665098,0.2404216,0.0897579,3.410248,-1.23764,0.007446289,-0.09002417,0.249033,0.9643019,-0.00233123,0.0005303599,0.9999971,1,0.6527000000000385,-0.2387411999999999,0.0013000000000147338,-0.0013307052572662408,-0.2387411999999999,0.5756790682770178,112.5243331101333,90.13244125663651,0.6232218874576028,75.5797020675622,95.33349359803609,0.999999970308399
"=""20190304164336023""","=""1551689016010420""",Testhuanghun_off,5.314417,0.5573704,Kooper,-475.9637,0.8729526,367.2188,-476.6118,1.109659,367.2176,0.999965,-0.008366695,-0.000380206,0.9663817,0.2409385000000001,0.08975066,3.410675,-1.235722,0.007080078,-0.09007155,0.2490325,0.9642977,-0.002284125,0.0005413037,0.9999973,1,0.6480999999999995,-0.2367064,0.0011999999999829927,-0.0012761852848466346,-0.2367064,0.5718221710263427,112.48711122998483,90.12787176329138,0.6188797490038926,75.57973300117732,95.33630754000808,1.0000000622004694
"=""20190304164336040""","=""1551689016029940""",Testhuanghun_off,5.329509,0.5575684000000001,Kooper,-475.9551,0.8721962,367.2187,-476.6048,1.109726,367.2175,0.9999664,-0.008190463,-0.0004403242,0.9662859,0.2412977000000001,0.08981466,3.411163,-1.233396,0.007446289,-0.09019627,0.2492195,0.9642376,-0.002438379,0.000588416,0.9999968,1,0.6496999999999957,-0.23752979999999999,0.0012000000000398359,-0.0013108736849039852,-0.23752979999999999,0.5730978244901628,112.51231157413416,90.13105511035666,0.6203734687373527,75.56866804840602,95.34398499458368,0.9999999377779596
"=""20190304164336054""","=""1551689016050436""",Testhuanghun_off,5.3093309999999985,0.5577531,Kooper,-475.949,0.8733225,367.2183,-476.601,1.109946,367.2174,0.9999627,-0.00862411,-0.0004606023000000001,0.9663795,0.2408922,0.08989879,3.411346,-1.229646,0.004577637,-0.09031007,0.2492292,0.9642245,-0.0016671910000000002,0.0004558217,0.9999985,1,0.6519999999999868,-0.2366234999999999,0.0009000000000014553,-0.0010606281285949564,-0.2366234999999999,0.5761187452677728,112.32890316352459,90.10548076632901,0.622819889159932,75.5680950094615,95.3507606270123,0.9999999946381475
"=""20190304164336076""","=""1551689016069956""",Testhuanghun_off,5.487259,0.5579189999999999,Kooper,-475.9458,0.8737698,367.2177,-476.5976,1.110434,367.2173,0.99995,-0.009998519,-0.0004503503,0.9666737,0.2398783,0.08944592,3.410461,-1.229189,0.003692627,-0.08987428,0.2495335,0.9641865,-0.001414599,0.00040742660000000016,0.9999989,1,0.6517999999999802,-0.2366641999999999,0.0003999999999564352,-0.000612767676463766,-0.2366641999999999,0.5758779203859822,112.34081027569694,90.0609660262882,0.6226119965387343,75.55009086415757,95.32529805544593,0.999999980305009
"=""20190304164336142""","=""1551689016130468""",Testhuanghun_off,5.386788,0.5582824000000001,Kooper,-475.9274,0.8727254000000001,367.2166,-476.5745,1.109984,367.2173,0.9999625,-0.008670107,-0.0005355093,0.9665436,0.2408285,0.08829109,3.407349,-1.230358,-0.003265381,-0.08879792,0.2492029,0.9643716999999998,0.0004273445,0.0001062373,0.9999999,1,0.6471000000000231,-0.23725860000000001,-0.0006999999999948159,0.00031157361818203046,-0.23725860000000001,0.5704181849865197,112.58427924046654,89.96870392279925,0.6177933684618142,75.56965055842674,95.26087608210266,0.9999999658628125
"=""20190304164336154""","=""1551689016149988""",Testhuanghun_off,5.387886,0.5583876,Kooper,-475.9149,0.8732310999999999,367.2156,-476.5663,1.109785,367.2172,0.9999685,-0.007928226,-0.0006023271,0.9663466,0.2417298,0.08798428,3.40918,-1.223227,-0.006195068000000001,-0.08854425,0.2493908,0.9643465,0.001175668,-4.396279e-06,0.9999993,1,0.6514000000000237,-0.2365539000000001,-0.001599999999996271,0.0010669302442879952,-0.2365539000000001,0.5755060508641359,112.34440887111569,89.89377951820524,0.6222267275893808,75.55853439525123,95.24606756877114,1.0000000136974763
"=""20190304164336168""","=""1551689016159748""",Testhuanghun_off,5.373303,0.5584213,Kooper,-475.9044,0.8732231,367.2154,-476.5589,1.109838,367.2171,0.9999683,-0.007937415,-0.000652847,0.9663603,0.241813,0.08760289,3.4100650000000003,-1.218736,-0.007965088,-0.08820821,0.2494841,0.9643531,0.001618899,-6.593972e-05,0.9999987,1,0.6544999999999845,-0.23661489999999985,-0.0017000000000280124,0.0011255880803267213,-0.23661489999999985,0.578847923049933,112.23316826109104,89.88858668638174,0.625342143046315,75.5530133147331,95.22623276939622,0.9999999529719109
"=""20190304164336188""","=""1551689016180244""",Testhuanghun_off,5.418182,0.5585149,Kooper,-475.9034,0.8756245,367.2151,-476.5515,1.1101370000000002,367.2171,0.9999613000000002,-0.008771375,-0.0006848896,0.9667706,0.240291,0.08726344,3.410156,-1.2184,-0.009216309,-0.08790532,0.2487684,0.9645657,0.001935099,-0.0001125379,0.9999981,1,0.6480999999999995,-0.2345125000000001,-0.0020000000000095497,0.0013759503940606516,-0.2345125000000001,0.5730685498445357,112.25542035181981,89.86243181740379,0.6191975199535734,75.5953559669918,95.20724409227851,1.0000000258696757
"=""20190304164336200""","=""1551689016190005""",Testhuanghun_off,5.383102,0.5585283000000001,Kooper,-475.8969,0.8751429000000001,367.2145,-476.5479,1.110418,367.217,0.9999532,-0.009671737,-0.0006875992999999999,0.9670596,0.2390649,0.08742824,3.40802,-1.222909,-0.01037598,-0.08808108,0.2484108,0.9646418,0.002252896,-0.00017039490000000002,0.9999974,1,0.6510000000000105,-0.2352751000000001,-0.002499999999997727,0.0018152568369588645,-0.2352751000000001,0.5757956606316135,112.22525092787625,89.8193695818984,0.6220115036231969,75.61650860578129,95.21718883178065,1.000000002258923
"=""20190304164336215""","=""1551689016199763""",Testhuanghun_off,5.430349,0.5585473000000001,Kooper,-475.893,0.8744287000000001,367.215,-476.5446,1.110693,367.217,0.9999432,-0.01064618,-0.0006818608999999999,0.9673257,0.238068,0.08720441,3.406372,-1.227301,-0.009033203,-0.08786210000000001,0.2483531,0.9646766,0.001887827,-0.0001089463,0.9999982,1,0.6515999999999735,-0.2362642999999999,-0.0020000000000095497,0.0013749126921923528,-0.2362642999999999,0.5758885667806731,112.30634561134735,89.86320870159433,0.6224711649450911,75.61992115090234,95.20410288446591,0.9999999767417896
"=""20190304164336259""","=""1551689016250517""",Testhuanghun_off,5.3087339999999985,0.5585799,Kooper,-475.8712,0.8731841,367.2147,-476.5183,1.109985,367.2169,0.9999628,-0.008584621,-0.0008358529,0.9669616,0.2398266,0.08642043,3.406219,-1.228427,-0.01013184,-0.08720675,0.2481258,0.9647946,0.002055936,-8.323049000000001e-05,0.9999979,1,0.6471000000000231,-0.2368009,-0.002200000000016189,0.0014631639548218119,-0.2368009,0.570680724524032,112.5356767820748,89.85310011000628,0.6178618748821153,75.63336600995684,95.16486869420986,1.0000000250301808
